Who,Survey,Sampling_date,Start_date,Sample_ID,sensor_plate_number,SDR_number,Sample_line,Comments
Camille,1000_lakes,190925,190925,11534,1551,512,2,no nutrients+inoculum in standard
Camille,1000_lakes,190925,190925,11590,1551,512,3,no nutrients+inoculum in standard
Camille,1000_lakes,190925,190925,11537,1551,512,4,no nutrients+inoculum in standard
Camille,1000_lakes,190925,190925,11311,1551,512,5,no nutrients+inoculum in standard
Camille,1000_lakes,190925,190925,11631,1551,512,6,no nutrients+inoculum in standard
Camille,1000_lakes,190925,190925,11528,1920A,510,2,no nutrients+inoculum in standard
Camille,1000_lakes,190925,190925,11190,1920A,510,3,no nutrients+inoculum in standard
Camille,1000_lakes,190925,190925,11449,1920A,510,4,no nutrients+inoculum in standard
Camille,1000_lakes,190925,190925,11317,1920A,510,5,no nutrients+inoculum in standard
Camille,1000_lakes,190925,190925,11313,1920A,510,6,no nutrients+inoculum in standard
Eline,1000_lakes,190925,190925,11575,1920B,124,2,no nutrients+inoculum in standard
Eline,1000_lakes,190925,190925,11194,1920B,124,3,no nutrients+inoculum in standard
Eline,1000_lakes,190925,190925,11549,1920B,124,4,no nutrients+inoculum in standard
Eline,1000_lakes,190925,190925,11196,1920B,124,5,no nutrients+inoculum in standard
Eline,1000_lakes,190925,190925,11536,1920B,124,6,no nutrients+inoculum in standard
Camille,1000_lakes,190925,190927,11533,1428,124,2,
Camille,1000_lakes,190925,190927,11552,1428,124,3,
Camille,1000_lakes,190927,190927,11314,1428,124,4,
Camille,1000_lakes,190927,190927,11481,1428,124,5,
Camille,1000_lakes,190927,190927,11193,1428,124,6,
Camille,1000_lakes,190927,190927,11381,black,510,2,
Camille,1000_lakes,190927,190927,11480,black,510,3,
Camille,1000_lakes,190927,190927,11336,black,510,4,
Camille,1000_lakes,190927,190927,11376,black,510,5,
Camille,1000_lakes,190927,190927,11395,black,510,6,
Camille,1000_lakes,190927,190927,11399,red,512,2,1 mL instead of 250 uL nutrients + inoculum
Camille,1000_lakes,190927,190927,11186,red,512,3,1 mL instead of 250 uL nutrients + inoculum
Camille,1000_lakes,190927,190927,11431,red,512,4,1 mL instead of 250 uL nutrients + inoculum
Camille,1000_lakes,190927,190927,11484,red,512,5,1 mL instead of 250 uL nutrients + inoculum
Camille,1000_lakes,190927,190927,11506,red,512,6,1 mL instead of 250 uL nutrients + inoculum
Camille,1000_lakes,190927,190928,11429,1920A,512,2,
Camille,1000_lakes,190927,190928,11334,1920A,512,3,
Camille,1000_lakes,190927,190928,11441,1920A,512,4,
Camille,1000_lakes,190927,190928,11447,1920A,512,5,
Camille,1000_lakes,190927,190928,11404,1920A,512,6,
Camille,1000_lakes,190927,190928,11409,1551,510,2,
Camille,1000_lakes,190927,190928,11394,1551,510,3,
Camille,1000_lakes,190927,190928,11498,1551,510,4,
Camille,1000_lakes,190927,190928,11378,1551,510,5,
Camille,1000_lakes,190927,190928,11397,1551,510,6,
Camille,1000_lakes,190927,190928,11379,1920B,124,2,
Camille,1000_lakes,190927,190928,11405,1920B,124,3,
