"","set","sample","fit_r2","ox_initial","t_initial","dmax","tmax_h","se","auc","hauc","width","t1_h","t2_h","hwidth","line","Sample_ID","Survey","tmax"
"1","190925_124_2","190925_124_A2",0.977951388194389,257.457255483824,5.325,2.02429310353227,22.3121666666667,0.458750300240329,4.26210808930481,4.26210808930481,2.73833333333333,19.5738333333333,22.3121666666667,2.73833333333333,"2",11575,"1000_lakes",16.9871666666667
"2","190925_124_2","190925_124_C2",0.856935643006293,257.436099625231,5.325,2.00526931077771,22.16,1.07646112145534,4.89498299462111,4.89498299462111,3.1945,18.9655,22.16,3.1945,"2",11575,"1000_lakes",16.835
"3","190925_124_2","190925_124_B2",0.935186590380608,257.44683397753,5.325,2.52488059507492,22.2616666666667,0.861221793926509,5.40088455907081,5.40088455907081,2.78916666666667,19.4725,22.2616666666667,2.78916666666667,"2",11575,"1000_lakes",16.9366666666667
"4","190925_124_2","190925_124_D2",0.969941894447443,257.4251723517,5.325,2.7151166439207,22.4136666666667,0.388539988022602,4.80196837138286,4.80196837138286,2.23116666666666,20.1825,22.4136666666667,2.23116666666666,"2",11575,"1000_lakes",17.0886666666667
"5","190925_124_3","190925_124_B3",0.910678112532034,257.402506015243,5.325,1.92511268721358,22.4136666666667,0.615857683989413,3.44383167504774,3.44383167504774,2.28166666666666,20.132,22.4136666666667,2.28166666666666,"3",11194,"1000_lakes",17.0886666666667
"6","190925_124_3","190925_124_D3",0.97785672493338,257.378860202476,5.325,2.28638132759993,22.3121666666667,0.433589732177818,4.58086742524479,4.58086742524479,2.586,19.7261666666667,22.3121666666667,2.586,"3",11194,"1000_lakes",16.9871666666667
"7","190925_124_3","190925_124_C3",0.942765063285904,257.390789851,5.325,2.31545238429818,22.4645,0.580869417184922,3.99865016163509,3.99865016163509,2.18066666666666,20.2838333333333,22.4645,2.18066666666666,"3",11194,"1000_lakes",17.1395
"8","190925_124_3","190925_124_A3",0.970495945422023,257.41392097569,5.325,1.93373403142581,22.2616666666667,0.449579097095889,4.17708110354824,4.17708110354824,2.78916666666667,19.4725,22.2616666666667,2.78916666666667,"3",11194,"1000_lakes",16.9366666666667
"9","190925_124_4","190925_124_B4",0.958176646698562,257.354453708063,5.325,2.94848425500498,22.363,0.59741218290658,5.93594460755758,5.93594460755758,2.586,19.777,22.363,2.586,"4",11549,"1000_lakes",17.038
"10","190925_124_4","190925_124_C4",0.969675436635847,257.342045470139,5.325,3.56552218669483,22.363,0.587645689848068,6.63432848406045,6.63432848406045,2.38333333333333,19.9796666666667,22.363,2.38333333333333,"4",11549,"1000_lakes",17.038
"11","190925_124_4","190925_124_D4",0.983056821646123,257.329394852395,5.325,3.96283787633929,22.4136666666667,0.499537737515153,6.98687580642194,6.98687580642194,2.23116666666666,20.1825,22.4136666666667,2.23116666666666,"4",11549,"1000_lakes",17.0886666666667
"12","190925_124_4","190925_124_A4",0.944882461694058,257.366770298101,5.325,3.13430573334892,22.363,0.67431717906052,5.8379263045041,5.8379263045041,2.38333333333333,19.9796666666667,22.363,2.38333333333333,"4",11549,"1000_lakes",17.038
"13","190925_124_5","190925_124_B5",0.949474686944267,257.303748313616,5.325,1.85123810860023,22.16,0.492029683728102,4.33410849176328,4.33410849176328,3.0425,19.1175,22.16,3.0425,"5",11196,"1000_lakes",16.835
"14","190925_124_5","190925_124_C5",0.941821677400716,257.290737203196,5.325,2.08921988156153,22.4136666666667,0.535682858027499,3.84380080806839,3.84380080806839,2.3325,20.0811666666667,22.4136666666667,2.3325,"5",11196,"1000_lakes",17.0886666666667
"15","190925_124_5","190925_124_D5",0.977745344150661,257.277574901947,5.325,2.22627906496298,22.363,0.424893267241212,4.38141180446611,4.38141180446611,2.5355,19.8275,22.363,2.5355,"5",11196,"1000_lakes",17.038
"16","190925_124_5","190925_124_A5",0.916222827217177,257.316680723586,5.325,2.01243434084736,22.363,0.53970068051084,3.81359051428695,3.81359051428695,2.43416666666667,19.9288333333333,22.363,2.43416666666667,"5",11196,"1000_lakes",17.038
"17","190925_124_6","190925_124_C6",0.988331254733332,257.237656072464,5.325,5.34839725549222,22.3121666666667,0.559679050479659,10.9565468633822,10.9565468633822,2.63666666666667,19.6755,22.3121666666667,2.63666666666667,"6",11536,"1000_lakes",16.9871666666667
"18","190925_124_6","190925_124_A6",0.962837565224507,257.264404380561,5.325,3.39692835795593,22.363,0.505225507302067,6.31159995009162,6.31159995009162,2.38333333333333,19.9796666666667,22.363,2.38333333333333,"6",11536,"1000_lakes",17.038
"19","190925_124_6","190925_124_B6",0.990702763875397,257.251064843959,5.325,5.59470757625506,22.363,0.481995115973795,10.8360032645618,10.8360032645618,2.48466666666667,19.8783333333333,22.363,2.48466666666667,"6",11536,"1000_lakes",17.038
"20","190925_124_6","190925_124_D6",0.995476913899162,257.224279659419,5.325,7.28255351934412,22.2616666666667,0.495271309474753,15.4444498005761,15.4444498005761,2.73833333333333,19.5233333333333,22.2616666666667,2.73833333333333,"6",11536,"1000_lakes",16.9366666666667
"21","190925_510_2","190925_510_D2",0.0638255708033855,288.105493975904,2.9925,1.15521258820961,21.9571666666667,1.77125366347715,2.86314179221189,2.86314179221189,3.14383333333334,18.8133333333333,21.9571666666667,3.14383333333334,"2",11528,"1000_lakes",18.9646666666667
"22","190925_510_2","190925_510_C2",0,288.105493975904,2.9925,0,2.9925,0,0,0,0,2.9925,2.9925,0,"2",11528,"1000_lakes",0
"23","190925_510_2","190925_510_A2",0.0982277934719654,288.105493975904,2.9925,0.870329842545752,21.7038333333333,1.05875141668093,2.61675184499747,2.61675184499747,3.80333333333333,17.9005,21.7038333333333,3.80333333333333,"2",11528,"1000_lakes",18.7113333333333
"24","190925_510_2","190925_510_B2",0,288.105493975904,2.9925,0,2.9925,0,0,0,0,2.9925,2.9925,0,"2",11528,"1000_lakes",0
