"","sample","fit_r2","ox_initial","t_initial","dmax","tmax_h","se","auc","hauc","width","t1_h","t2_h","hwidth"
"1","190925_124_A1",0.6547,257.495967838962,5.325,0.813249659904614,6.59283333333333,0.00316516996183013,3.45720200352045,3.45720200352045,1.77466666666667,6.59283333333333,8.3675,1.77466666666667
"2","190925_124_B1",0,257.486756862988,5.325,9.03810359886847e-10,13.0325,3.62275385161372e-07,1.66550347557859e-08,1.66550347557859e-08,0,13.0325,13.0325,0
"3","190925_124_C1",0,257.477278021057,5.325,2.20836682274239e-09,19.5738333333333,9.47241861715461e-07,4.09269802048584e-08,4.09269802048584e-08,0,19.5738333333333,19.5738333333333,0
"4","190925_124_D1",0.9657,257.467419253221,5.325,2.22249082304302,6.59283333333333,0.00668187501834642,15.9679688374649,15.9679688374649,1.77466666666667,6.59283333333333,8.3675,1.77466666666667
"5","190925_124_A2",0.978,257.457255198432,5.325,5.26993396533271,23.935,0.341489903294807,26.1966063552712,26.1966063552712,2.23116666666667,21.7038333333333,23.935,2.23116666666667
"6","190925_124_B2",0.9352,257.446833747374,5.325,6.65031255006511,23.935,0.648024415519588,26.0270448850863,26.0270448850863,2.282,21.653,23.935,2.282
"7","190925_124_C2",0.8569,257.436099446993,5.325,5.50340508307386,23.935,0.832099784533599,21.9680725627131,21.9680725627131,2.6875,21.2475,23.935,2.6875
"8","190925_124_D2",0.9699,257.425172221657,5.325,6.69088876611454,23.935,0.279580117319838,23.6065687578292,23.6065687578292,1.52133333333333,22.4136666666667,23.935,1.52133333333333
"9","190925_124_A3",0.9705,257.413920890846,5.325,5.14534297325326,23.935,0.338283578526524,23.6901899088234,23.6901899088234,2.23116666666667,21.7038333333333,23.935,2.23116666666667
"10","190925_124_B3",0.9107,257.4025059721,5.325,4.71302192213557,23.935,0.450309652585767,15.6614481303101,15.6614481303101,1.67333333333333,22.2616666666667,23.935,1.67333333333333
"11","190925_124_C3",0.9428,257.390789846702,5.325,5.54080161098,23.935,0.419042813254111,19.3747682833251,19.3747682833251,1.52133333333333,22.4136666666667,23.935,1.52133333333333
"12","190925_124_D3",0.9779,257.37886023397,5.325,5.91245712886803,23.935,0.322759916608388,25.7430137787854,25.7430137787854,1.97783333333333,21.9571666666667,23.935,1.97783333333333
"13","190925_124_A4",0.9449,257.366770362324,5.325,7.87135178574204,23.935,0.494935172535553,23.4151647756599,23.4151647756599,1.8255,22.1095,23.935,1.8255
"14","190925_124_B4",0.9582,257.354453802257,5.325,7.56860537157763,23.935,0.43817071206267,26.2629284375416,26.2629284375416,1.97783333333333,21.9571666666667,23.935,1.97783333333333
"15","190925_124_C4",0.9697,257.342045591355,5.325,8.9509729093345,23.935,0.433268183294909,30.0899339812475,30.0899339812475,1.775,22.16,23.935,1.775
"16","190925_124_D4",0.9831,257.329394998133,5.325,9.7059299940554,23.935,0.365091449209446,34.9134290722665,34.9134290722665,1.62283333333333,22.3121666666667,23.935,1.62283333333333
"17","190925_124_A5",0.9163,257.316680891114,5.325,5.06625701015651,23.935,0.397406462458557,18.2196363887541,18.2196363887541,1.87633333333333,22.0586666666667,23.935,1.87633333333333
"18","190925_124_B5",0.9495,257.30374850058,5.325,5.06951097219371,23.935,0.372352485976807,21.7557476870131,21.7557476870131,2.48466666666667,21.4503333333333,23.935,2.48466666666667
"19","190925_124_C5",0.9418,257.290737407127,5.325,5.18886797184905,23.935,0.391679555117472,19.9287043553926,19.9287043553926,1.72416666666667,22.2108333333333,23.935,1.72416666666667
"20","190925_124_D5",0.9778,257.277575120581,5.325,5.66376959296235,23.935,0.313447481742004,25.6845300360886,25.6845300360886,1.97783333333333,21.9571666666667,23.935,1.97783333333333
"21","190925_124_A6",0.9629,257.26440461159,5.325,8.51026993237497,23.935,0.369662286710197,26.7242194791123,26.7242194791123,1.8255,22.1095,23.935,1.8255
"22","190925_124_B6",0.9907,257.251065085329,5.325,14.2182511830288,23.935,0.355371665147312,45.5725198601595,45.5725198601595,1.8255,22.1095,23.935,1.8255
"23","190925_124_C6",0.9883,257.237656322123,5.325,13.924957549217,23.935,0.416619377168107,46.2484193021486,46.2484193021486,2.07916666666667,21.8558333333333,23.935,2.07916666666667
"24","190925_124_D6",0.9955,257.224279915372,5.325,19.277025264081,23.935,0.37265787330562,66.375404936899,66.375404936899,2.1805,21.7545,23.935,2.1805
"25","190925_510_A1",0,288.105493975904,2.9925,0,2.9925,2.99572613962114e-09,0,0,0,2.9925,2.9925,0
"26","190925_510_B1",0,288.105493975904,2.9925,0,2.9925,2.81267098411347e-09,0,0,0,2.9925,2.9925,0
"27","190925_510_C1",0,288.105493975904,2.9925,0,2.9925,2.92483509112195e-09,0,0,0,2.9925,2.9925,0
"28","190925_510_D1",0,288.105493975904,2.9925,0,2.9925,3.61429780758725e-09,0,0,0,2.9925,2.9925,0
"29","190925_510_A2",0.0981,288.105493975904,2.9925,2.52298234773548,23.8841666666667,0.965611079863742,8.61420464174585,8.61420464174585,3.14383333333333,20.7403333333333,23.8841666666667,3.14383333333333
"30","190925_510_B2",0,288.105493975904,2.9925,1.70871317095589e-09,11.1563333333333,1.08084913814934e-06,3.5540141425372e-08,3.5540141425372e-08,0,11.1563333333333,11.1563333333333,0
"31","190925_510_C2",0,288.105493975904,2.9925,9.58380041993223e-10,3.1445,7.76738335610103e-07,1.99429285885344e-08,1.99429285885344e-08,0,3.1445,3.1445,0
"32","190925_510_D2",0.0638,288.105493975904,2.9925,3.17788014463872,23.935,1.31673158068516,7.53542601736957,7.53542601736957,2.38333333333333,21.5516666666667,23.935,2.38333333333333
"33","190925_510_A3",0.0377,288.105493975904,2.9925,3.17724573758937,23.935,1.21654700719793,5.80544267914998,5.80544267914998,1.572,22.363,23.935,1.572
"34","190925_510_B3",0,288.105493975904,2.9925,8.45830072648823e-10,3.24583333333333,7.31364489114541e-07,1.7549213566781e-08,1.7549213566781e-08,0,3.24583333333333,3.24583333333333,0
"35","190925_510_C3",0.0072,288.105493975904,2.9925,4.28316350395107,23.935,0.742559528747288,4.15485171484914,4.15485171484914,0.912833333333332,23.0221666666667,23.935,0.912833333333332
"36","190925_510_D3",0.0226,288.105493975904,2.9925,2.36052729247604,23.935,1.2440789983484,4.62721553810218,4.62721553810218,1.775,22.16,23.935,1.775
