"","set","Sample_ID","Survey"
"1","190925_512_2",11534,"1000_lakes"
"2","190925_512_3",11590,"1000_lakes"
"3","190925_512_4",11537,"1000_lakes"
"4","190925_512_5",11311,"1000_lakes"
"5","190925_512_6",11631,"1000_lakes"
"6","190925_510_2",11528,"1000_lakes"
"7","190925_510_3",11190,"1000_lakes"
"8","190925_510_4",11449,"1000_lakes"
"9","190925_510_5",11317,"1000_lakes"
"10","190925_510_6",11313,"1000_lakes"
"11","190925_124_2",11575,"1000_lakes"
"12","190925_124_3",11194,"1000_lakes"
"13","190925_124_4",11549,"1000_lakes"
"14","190925_124_5",11196,"1000_lakes"
"15","190925_124_6",11536,"1000_lakes"
"16","190927_124_2",11533,"1000_lakes"
"17","190927_124_3",11552,"1000_lakes"
"18","190927_124_4",11314,"1000_lakes"
"19","190927_124_5",11481,"1000_lakes"
"20","190927_124_6",11193,"1000_lakes"
"21","190927_510_2",11381,"1000_lakes"
"22","190927_510_3",11480,"1000_lakes"
"23","190927_510_4",11336,"1000_lakes"
"24","190927_510_5",11376,"1000_lakes"
"25","190927_510_6",11395,"1000_lakes"
"26","190927_512_2",11399,"1000_lakes"
"27","190927_512_3",11186,"1000_lakes"
"28","190927_512_4",11431,"1000_lakes"
"29","190927_512_5",11484,"1000_lakes"
"30","190927_512_6",11506,"1000_lakes"
"31","190928_512_2",11429,"1000_lakes"
"32","190928_512_3",11334,"1000_lakes"
"33","190928_512_4",11441,"1000_lakes"
"34","190928_512_5",11447,"1000_lakes"
"35","190928_512_6",11404,"1000_lakes"
"36","190928_510_2",11409,"1000_lakes"
"37","190928_510_3",11394,"1000_lakes"
"38","190928_510_4",11498,"1000_lakes"
"39","190928_510_5",11378,"1000_lakes"
"40","190928_510_6",11397,"1000_lakes"
"41","190928_124_2",11379,"1000_lakes"
"42","190928_124_3",11405,"1000_lakes"
"43","190928_124_4",11502,"1000_lakes"
"44","190928_124_5",11385,"1000_lakes"
"45","190928_124_6",11382,"1000_lakes"
"46","190930_510_2",11499,"1000_lakes"
"47","190930_510_3",11393,"1000_lakes"
"48","190930_510_4",11339,"1000_lakes"
"49","190930_510_5",11446,"1000_lakes"
"50","190930_510_6",11372,"1000_lakes"
"51","190930_512_2",11188,"1000_lakes"
"52","190930_512_3",11392,"1000_lakes"
"53","190930_512_4",11501,"1000_lakes"
"54","190930_512_5",11195,"1000_lakes"
"55","190930_512_6",11485,"1000_lakes"
"56","190930_124_2",11401,"1000_lakes"
"57","190930_124_3",11496,"1000_lakes"
"58","190930_124_4",11407,"1000_lakes"
"59","191001_124_2",11614,"1000_lakes"
"60","191001_124_3",11413,"1000_lakes"
"61","191001_124_4",12572,"1000_lakes"
"62","191001_124_5",11763,"1000_lakes"
"63","191001_124_6",11604,"1000_lakes"
"64","191001_510_2",13286,"1000_lakes"
"65","191001_510_3",11558,"1000_lakes"
"66","191001_510_4",12501,"1000_lakes"
"67","191001_510_5",13327,"1000_lakes"
"68","191001_510_6",11783,"1000_lakes"
"69","191001_512_2",11739,"1000_lakes"
"70","191001_512_3",12575,"1000_lakes"
"71","191001_512_4",11571,"1000_lakes"
"72","191001_512_5",12306,"1000_lakes"
"73","191001_512_6",11621,"1000_lakes"
"74","191002_510_2",12544,"1000_lakes"
"75","191002_510_3",12571,"1000_lakes"
"76","191002_510_4",13414,"1000_lakes"
"77","191002_510_5",11846,"1000_lakes"
"78","191002_510_6",11603,"1000_lakes"
"79","191002_512_2",13284,"1000_lakes"
"80","191002_512_3",12504,"1000_lakes"
"81","191002_512_4",13372,"1000_lakes"
"82","191002_512_5",12080,"1000_lakes"
"83","191002_512_6",11605,"1000_lakes"
"84","191002_124_2",11593,"1000_lakes"
"85","191002_124_3",11608,"1000_lakes"
"86","191002_124_4",11445,"1000_lakes"
"87","191002_124_5",11389,"1000_lakes"
"88","191002_124_6",11565,"1000_lakes"
"89","191003_124_2",11613,"1000_lakes"
"90","191003_124_3",11831,"1000_lakes"
"91","191003_124_4",12650,"1000_lakes"
"92","191003_124_5",12579,"1000_lakes"
"93","191003_124_6",11775,"1000_lakes"
"94","191003_510_2",12587,"1000_lakes"
"95","191003_510_3",12613,"1000_lakes"
"96","191003_510_4",12619,"1000_lakes"
"97","191003_510_5",11976,"1000_lakes"
"98","191003_510_6",12172,"1000_lakes"
"99","191003_512_2",12251,"1000_lakes"
"100","191003_512_3",12016,"1000_lakes"
"101","191003_512_4",11978,"1000_lakes"
"102","191003_512_5",12641,"1000_lakes"
"103","191003_512_6",12646,"1000_lakes"
"104","/_/_/",11840,"1000_lakes"
"105","191005_510_3",12614,"1000_lakes"
"106","191005_510_4",11856,"1000_lakes"
"107","191005_510_5",11748,"1000_lakes"
"108","191005_510_6",11871,"1000_lakes"
"109","191005_512_2",11892,"1000_lakes"
"110","191005_512_3",12017,"1000_lakes"
"111","191005_512_4",11888,"1000_lakes"
"112","191005_512_5",12335,"1000_lakes"
"113","191005_512_6",11981,"1000_lakes"
"114","191009_124_5",12616,"1000_lakes"
"115","191009_124_6",11743,"1000_lakes"
"116","191009_512_2",12249,"1000_lakes"
"117","191009_512_3",12640,"1000_lakes"
"118","191009_512_4",12079,"1000_lakes"
"119","191009_512_5",11756,"1000_lakes"
"120","191009_512_6",11757,"1000_lakes"
"121","191011_510_6",11859,"1000_lakes"
"122","191011_124_2",11828,"1000_lakes"
"123","191011_124_3",11824,"1000_lakes"
"124","191011_124_4",11827,"1000_lakes"
"125","191011_124_5",12664,"1000_lakes"
"126","191011_124_6",11752,"1000_lakes"
"127","191011_512_2",12617,"1000_lakes"
"128","191011_512_3",11870,"1000_lakes"
"129","191011_512_4",11776,"1000_lakes"
"130","191011_512_5",11559,"1000_lakes"
"131","191011_512_6",12307,"1000_lakes"
"132","191013_510_2",11852,"1000_lakes"
"133","191013_510_3",12582,"1000_lakes"
"134","191013_510_4",12157,"1000_lakes"
"135","191013_510_5",12662,"1000_lakes"
"136","191013_510_6",12666,"1000_lakes"
"137","191013_512_2",12158,"1000_lakes"
"138","191013_512_3",11819,"1000_lakes"
"139","191013_512_4",12156,"1000_lakes"
"140","191013_512_5",12205,"1000_lakes"
"141","191013_512_6",12561,"1000_lakes"
"142","191013_124_2",12173,"1000_lakes"
"143","191013_124_3",11773,"1000_lakes"
"144","191013_124_4",12558,"1000_lakes"
"145","191013_124_5",11816,"1000_lakes"
"146","191013_124_6",11959,"1000_lakes"
"147","191015_124_2",12815,"1000_lakes"
"148","191015_124_3",13238,"1000_lakes"
"149","191015_124_4",12543,"1000_lakes"
"150","191015_124_5",12259,"1000_lakes"
"151","191015_124_6",11766,"1000_lakes"
"152","191015_512_2",12660,"1000_lakes"
"153","191015_512_3",12784,"1000_lakes"
"154","191015_512_4",12439,"1000_lakes"
"155","191015_512_5",11825,"1000_lakes"
"156","191015_512_6",11740,"1000_lakes"
"157","191015_510_2",11786,"1000_lakes"
"158","191015_510_3",12847,"1000_lakes"
"159","191015_510_4",11861,"1000_lakes"
"160","191015_510_5",11850,"1000_lakes"
"161","191015_510_6",11787,"1000_lakes"
"162","191017_510_2",12813,"1000_lakes"
"163","191017_510_3",12280,"1000_lakes"
"164","191017_510_4",12823,"1000_lakes"
"165","191017_510_5",13195,"1000_lakes"
"166","191017_510_6",12864,"1000_lakes"
"167","191017_512_2",12820,"1000_lakes"
"168","191017_512_3",12258,"1000_lakes"
"169","191017_512_4",12812,"1000_lakes"
"170","191017_512_5",13236,"1000_lakes"
"171","191017_512_6",12821,"1000_lakes"
"172","191017_124_2",11920,"1000_lakes"
"173","191017_124_3",11917,"1000_lakes"
"174","191017_124_4",11894,"1000_lakes"
"175","191017_124_5",12445,"1000_lakes"
"176","191017_124_6",12309,"1000_lakes"
"177","191018_512_2",12941,"1000_lakes"
"178","191018_512_3",11918,"1000_lakes"
"179","191018_512_4",12506,"1000_lakes"
"180","191018_512_5",11927,"1000_lakes"
"181","191018_512_6",13189,"1000_lakes"
"182","191018_510_2",11895,"1000_lakes"
"183","191018_510_3",12256,"1000_lakes"
"184","191018_510_4",13239,"1000_lakes"
"185","191018_510_5",12743,"1000_lakes"
"186","191018_510_6",12757,"1000_lakes"
"187","191018_124_2",12758,"1000_lakes"
"188","191018_124_3",12541,"1000_lakes"
"189","191018_124_4",11984,"1000_lakes"
"190","191018_124_5",12538,"1000_lakes"
"191","191018_124_6",12901,"1000_lakes"
"192","191018_130_2",12146,"1000_lakes"
"193","191018_130_3",12782,"1000_lakes"
"194","191018_130_4",12935,"1000_lakes"
"195","191018_130_5",12909,"1000_lakes"
"196","191018_130_6",11979,"1000_lakes"
"197","191018_133_2",12785,"1000_lakes"
"198","191018_133_3",13233,"1000_lakes"
"199","191018_133_4",12903,"1000_lakes"
"200","191018_133_5",12897,"1000_lakes"
"201","191018_133_6",12192,"1000_lakes"
"202","191021_124_2",12899,"1000_lakes"
"203","191021_124_3",12905,"1000_lakes"
"204","191021_124_4",12818,"1000_lakes"
"205","191021_124_5",12437,"1000_lakes"
"206","191021_124_6",13235,"1000_lakes"
"207","191021_130_2",12761,"1000_lakes"
"208","191021_130_3",12234,"1000_lakes"
"209","191021_130_4",12937,"1000_lakes"
"210","191021_130_5",12811,"1000_lakes"
"211","191021_130_6",12932,"1000_lakes"
"212","191021_133_2",12253,"1000_lakes"
"213","191021_133_3",12849,"1000_lakes"
"214","191021_133_4",12781,"1000_lakes"
"215","191021_133_5",11985,"1000_lakes"
"216","191021_133_6",13193,"1000_lakes"
"217","191021_510_2",13186,"1000_lakes"
"218","191021_510_3",12089,"1000_lakes"
"219","191021_510_4",12636,"1000_lakes"
"220","191021_510_5",13187,"1000_lakes"
"221","191021_510_6",12049,"1000_lakes"
"222","191021_512_2",12603,"1000_lakes"
"223","191021_512_3",12290,"1000_lakes"
"224","191021_512_4",12622,"1000_lakes"
"225","191021_512_5",12344,"1000_lakes"
"226","191021_512_6",12584,"1000_lakes"
"227","191023_512_2",12053,"1000_lakes"
"228","191023_512_3",12039,"1000_lakes"
"229","191023_512_4",12291,"1000_lakes"
"230","191023_512_5",12036,"1000_lakes"
"231","191023_512_6",12628,"1000_lakes"
"232","191023_130_2",12695,"1000_lakes"
"233","191023_130_3",12210,"1000_lakes"
"234","191023_130_4",12602,"1000_lakes"
"235","191023_130_5",12126,"1000_lakes"
"236","191023_130_6",12027,"1000_lakes"
"237","191023_133_2",12042,"1000_lakes"
"238","191023_133_3",12693,"1000_lakes"
"239","191023_133_4",12598,"1000_lakes"
"240","191023_133_5",12117,"1000_lakes"
"241","191023_133_6",12682,"1000_lakes"
"242","191023_124_2",12086,"1000_lakes"
"243","191023_124_3",12629,"1000_lakes"
"244","191023_124_4",12209,"1000_lakes"
"245","191023_124_5",12627,"1000_lakes"
"246","191023_124_6",12114,"1000_lakes"
"247","191023_510_2",12029,"1000_lakes"
"248","191023_510_3",12050,"1000_lakes"
"249","191023_510_4",13121,"1000_lakes"
"250","191023_510_5",13165,"1000_lakes"
"251","191023_510_6",12095,"1000_lakes"
"252","191025_512_6",13373,"1000_lakes"
"253","191025_124_2",12282,"1000_lakes"
"254","191025_124_3",12260,"1000_lakes"
"255","191025_124_4",13430,"1000_lakes"
"256","191025_124_5",12262,"1000_lakes"
"257","191025_124_6",13374,"1000_lakes"
"258","191025_130_2",12097,"1000_lakes"
"259","191025_130_3",13428,"1000_lakes"
"260","191025_130_4",12851,"1000_lakes"
"261","191025_130_5",12101,"1000_lakes"
"262","191025_130_6",12505,"1000_lakes"
"263","191025_133_2",13337,"1000_lakes"
"264","191025_133_3",12310,"1000_lakes"
"265","191025_133_4",12147,"1000_lakes"
"266","191025_133_5",13057,"1000_lakes"
"267","191025_133_6",12509,"1000_lakes"
"268","191027_133_6",12100,"1000_lakes"
"269","191027_130_2",12979,"1000_lakes"
"270","191027_130_3",12305,"1000_lakes"
"271","191027_130_4",12206,"1000_lakes"
"272","191027_130_5",12329,"1000_lakes"
"273","191027_130_6",12267,"1000_lakes"
"274","191027_124_2",12067,"1000_lakes"
"275","191027_124_3",12096,"1000_lakes"
"276","191027_124_4",12201,"1000_lakes"
"277","191027_124_5",12316,"1000_lakes"
"278","191027_124_6",12343,"1000_lakes"
"279","191027_510_2",12059,"1000_lakes"
"280","191027_510_3",12055,"1000_lakes"
"281","191027_510_4",12440,"1000_lakes"
"282","191027_510_5",12763,"1000_lakes"
"283","191027_510_6",12081,"1000_lakes"
"284","191029_512_2",11943,"1000_lakes"
"285","191029_512_3",12386,"1000_lakes"
"286","191029_512_4",12007,"1000_lakes"
"287","191029_512_5",12523,"1000_lakes"
"288","191029_512_6",12486,"1000_lakes"
"289","191029_124_2",13042,"1000_lakes"
"290","191029_124_3",11952,"1000_lakes"
"291","191029_124_4",12336,"1000_lakes"
"292","191029_124_5",12425,"1000_lakes"
"293","191029_124_6",13435,"1000_lakes"
"294","191029_130_2",12446,"1000_lakes"
"295","191029_130_3",11993,"1000_lakes"
"296","191029_130_4",11902,"1000_lakes"
"297","191029_130_5",12485,"1000_lakes"
"298","191029_130_6",12471,"1000_lakes"
"299","191029_510_2",11901,"1000_lakes"
"300","191029_510_3",12483,"1000_lakes"
"301","191029_510_4",12478,"1000_lakes"
"302","191029_510_5",12480,"1000_lakes"
"303","191029_510_6",11906,"1000_lakes"
"304","191031_130_2",11961,"1000_lakes"
"305","191031_130_3",12479,"1000_lakes"
"306","191031_130_4",12469,"1000_lakes"
"307","191031_130_5",12473,"1000_lakes"
"308","191031_130_6",13368,"1000_lakes"
