"","Lake_ID","NIVA_station_ID","NVE_number","DNAsampleID","Lake_name","Long","Lat","Altitude","CBA_date","CBA_week","NIVA_date","T","pH_bio","EC_bio","DNA","Cells","TOC","DOC","TN","DN","TOTP","DP","pH","EC","Alkalinity","F","Cl","NO2","B","SO4","NO3","PO4","Na","K","Ca","Mg","Fe","Al","Cr","Ni","Cu","Zn","As","Cd","Pb","V","Mn","Co","Hg_total","a254","a410","a600","a275","a295","s_275_295","a350","a400","s_350_400","SUVA","SARuv","SARvis","Ar","N2","O2","CO2","CH4","N2O","p_N2","p_O2","c_O2","p_CO2","c_CO2","p_CH4","p_N2O","d18O","d2H","Survey","RR","tmax","tmax_h","auc","OD","width","BdgT","ox_initial","incub_date","lag_bdg","H","CN","CP","NP","CNP","SR","sVISa"
"1",12147,"522-3-16",267,"L35","Espedalsvatnet",9.6162769,61.3829981,722,2019-10-08,40,"43752",6,6.7,25,"3.1",261188.4,5.508,3.285,0.156,0.1178,10,3.4,7,11.8,0.195,"7.7000000000000002E-3",0.6694,0.2764,0.0779,1.7404,"0.20610000000000001","na",0.68,0.39,2.28,0.65,0,0.01,0.0303,0.168,0.0687,0.323,0.00445,0.000321,0.00392,0.00766,4.55e-05,0.00181,3.72,0.074,0.009,0.003,0.06,0.043,0.016657222,0.019,0.01,0.012837078,0.022526636,7.4,"3.3333333330000001","20.69042919","815.2890744","434.97846809999999","65.957015810000001","26.281819389999999","15.330085759999999","0","0","0.98600470299999998","107.5796357","0","9.5177399999999996E-4","1.5848653000000001E-2",-11.51801392,-82.86848884,"100_lakes",2.20450769469106,15.34425,21.61,11.8499842585676,5.78211196047979,6.82208333333333,3.29691666666666,268.086162046908,2019-10-09,1,1.99526231496888e-07,32.5204124572283,2491.25678911978,76.6059407271154,0.000296222698176577,1.29758672495407,0.0030441400304414
"2",12150,"534-5-1",523,"L26","Randsfjorden",10.465579,60.424115,134,2019-10-07,40,"43762",8.9,6.5,19.2,"4.4800000000000004",570749.7,8.39,6.101,0.575,0.4171,5.5,3.3,7.17,30.8,0.332,"0.1129",1.4546,1.0394,0.1122,4.3123,"1.6297999999999999","na",1.09,0.71,6.81,0.89,0.04,0.03,0.0338,0.0646,0.0618,0.246,0.0127,0.000867,0.0172,0.00583,6.35e-05,0.00217,4.87,0.159,0.015,0.003,0.128,0.093,0.015971539,0.039,0.018,0.015463798,0.026061301,8.833333333,"6","19.46290072","717.05219220000004","403.2957806","136.86832219999999","15.190020690000001","15.58297544","0","0","0.68612467700000002","119.0120111","0","3.3009630000000001E-3","0",-11.73792712,-85.37837611,"100_lakes",3.59537802697319,10.9567499999999,18.5413333333333,25.5037406499093,11.3718453927083,8.26750000000001,3.80416666666667,239.867991757818,2019-10-09,2,3.16227766016838e-07,17.057948419016,4767.04359387733,279.461719356772,0.000160086261374826,1.03283417178626,0.00295033601049008
"3",12151,"529-601",254,"L23","Skjelbreida",10.580267,60.634204,409,2019-10-07,40,"43745",9.2,7.1,29.8,"4.18",776113.5,13.93,7.556,0.315,0.263,5.5,4,6.42,24.8,0.178,"8.9999999999999998E-4",1.0641,0.1801,0.0795,1.8045,"na","na",0.8,0.76,3.11,0.45,0.05,0.05,0.0497,0.035,0.135,1.07,0.0483,0.00938,0.25,0.00472,0.000357,0.00739,8.94,0.299,0.047,0.019,0.244,0.185,0.01384062,0.091,0.051,0.011580677,0.039571202,5.862745098,"2.6842105260000002","18.331209309999998","715.78131800000006","383.60412730000002","24.689094990000001","16.796331160000001","15.671437539999999","0","0","0.27874656199999998","13.21132471","0","0","9.6089469999999996E-3",-10.56394629,-79.18554094,"100_lakes",2.5331530339653,15.09075,21.4071666666667,13.2348518967403,5.97850415409061,6.23875,2.73883333333334,268.086162046908,2019-10-09,2,7.94328234724282e-08,33.5044244930107,4870.72933144617,145.375705004641,0.000259408006637135,1.19514774481665,0.0067496029645315
"4",12180,"533-3-17",117,"L30","Mylla",10.598031,60.24374,498,2019-10-07,40,"43762",6.9,6.9,57.5,"5.6",784954.5,15.35,6.777,0.284,0.172,6.7,3,7.29,42.3,0.516,"0.36420000000000002",1.0569,1.0464,0.1236,3.7236,"0.34300000000000003","na",0.81,0.4,9.21,0.69,0.01,0.05,0.0258,0.0373,0.0573,0.806,0.0189,0.00221,0.011,0.00534,9.44e-05,0.00282,4.49,0.134,0.014,0.005,0.108,0.077,0.01691629,0.033,0.016,0.014478377,0.019772761,8.375,"3.2","20.675359520000001","698.25762369999995","401.06104729999998","155.2529505","56.861093099999998","18.210918710000001","0","0","0.81634989599999996","0","102.57383419999999","0","0",-10.20450286,-74.66252027,"100_lakes",4.33777637848442,9.18149999999998,17.324125,28.075949109061,12.4779027448592,7.71008333333334,3.85475,239.8679917477,2019-10-09,2,1.25892541179417e-07,45.9488874539424,5824.76313379402,126.766140739154,0.000474345681482866,1.16838303077755,0.00236092666371551
"5",12249,"545-4-1",146,"L31","Bygdin",8.7911252,61.328541,1058,2019-10-02,39,"43733",5.8,6.8,9.1,"2.76",221277.6,3.834,2.006,0.058,0.052,12.3,12.2,7.31,6.24,0.0727,"na",0.5936,0.193,0.0708,1.3221,"0.25019999999999998","na",0.3,0.17,0.96,0.17,0,0.09,0.0329,0.02,0.0551,1.7,0.00232,0.000622,0.00421,0.00641,7.3e-05,0.002,7.15,0.011,0.001,0,0.009,0.006,0.020273255,0.003,0.002,0.008109302,0.005483549,5.5,"Inf","19.764926299999999","713.55717119999997","402.6705943","15.494816520000001","5.7322038859999997","17.8521073","0.50545394799999999","0","9.2089535E-2","138.5842763","0","2.4201029999999998E-3","2.8664950000000002E-3",-13.31267588,-95.44679448,"100_lakes",3.61531823642826,6.43983333333335,12.6774166666667,16.0779485120846,7.53909517236214,5.40025,2.48458333333333,189.234761046101,2019-10-05,3,1.58489319246111e-07,44.9876747596754,423.968056603851,9.42409357382199,0.000114202318631733,2.5,0.000997008973080758
"6",12251,"545-4-5",1573,"L40","Tyin",8.136646,61.27565,1084,2019-10-01,39,"43733",11,6.8,4.8,"2.08",41173.8,2.543,1.526,0.068,0.0602,8.2,6.3,6.6,7.19,0.0712,"na",0.2603,0.1666,0.0639,1.1003,"0.15620000000000001","na",0.28,0.07,0.55,0.11,0.02,0.07,0.018,0.0179,0.0435,0.439,0.00259,0.00497,0.0134,0.00543,0.000228,0.00663,6.27,0.009,0.002,0.001,0.008,0.005,0.023500181,0.002,0.002,NA,0.005897772,4.5,"2","17.260349819999998","642.54561960000001","345.36320790000002","7.838506518","11.55307097","13.34939161","2.0400263619999999","0.71832369699999998","0","87.197613930000003","0","2.4036363000000002E-2","6.9435732999999999E-2",-13.41421027,-95.62460313,"100_lakes",4.53819301419386,6.05958333333335,12.905625,17.7515305894565,8.7277365855078,5.17225,2.53541666666667,189.234760477714,2019-10-05,4,1.58489319246111e-07,29.5613323445756,624.562669404897,21.1276901231924,0.000145319755985953,NA,0.00131061598951507
"7",12259,"545-3-7",570,"L50","Helin",8.716318,61.020559,868,2019-10-01,39,"43740",7.7,6.7,10.3,"2.5",145750.2,4.571,1.619,0.089,0.0766,20.5,4.5,7.22,19.05,0.147,"8.1100000000000005E-2",0.6564,0.3984,0.0815,2.2246,"0.16589999999999999","na",0.47,0.18,1.78,0.72,0,0.06,0.00956,0.0266,0.0233,0.839,0.00724,0.000816,0.00402,0.0021,0.000247,0.00198,7.11,0.027,0.004,0.001,0.021,0.014,0.020273255,0.006,0.004,0.008109302,0.016676961,6.75,"4","18.209103840000001","682.6138052","372.37539179999999","45.760930010000003","9.2913995109999998","16.029359759999998","0","0","0.300738222","120.84999670000001","0","0","1.9160541E-2",-12.15708218,-89.51035759,"100_lakes",0.839672423999417,6.97225,15.555,7.423014387352,2.27436018747884,11.6625833333333,3.19441666666666,189.234759313828,2019-10-05,4,1.99526231496888e-07,24.6481336842446,927.676111712412,37.6367689171287,0.000169633933378012,2.5,0.00247066090179123
"8",12260,"545-4-3",517,"L29","Vangsmjosi",8.671554,61.157512,466,2019-10-01,39,"43752",8,6.3,6,"5.94",168484.2,4.088,1.857,0.196,0.1288,6.7,2.9,7.05,8.66,0.112,"9.6199999999999994E-2",0.8996,0.4061,0.0778,2.2044,"0.45579999999999998","na",0.59,0.38,1.62,0.32,0,0.12,0.0279,0.0349,0.0355,1.56,0.00777,0.000766,0.00283,0.00389,6.94e-05,0.00108,7.37,0.031,0.003,0.001,0.025,0.018,0.016425203,0.007,0.004,0.011192316,0.016693592,7.75,"4","18.055362550000002","679.83083729999998","384.85788969999999","38.365430359999998","15.425399519999999","15.43359549","0.173347739","5.2884394000000001E-2","0","101.21522880000001","0","0","1.2413392000000001E-2",-13.16971749,-95.146757,"100_lakes",1.25811032830914,17.8740833333333,23.8836666666667,11.8331499855397,3.47942339002085,11.7640833333333,3.57475,157.874148930907,2019-10-05,4,5.01187233627272e-07,16.8136499875115,1651.10975858337,98.2005548949663,0.000179558186245941,1.46754282134279,0.00215401184706516
"9",12262,"543-3-2",573,"L32","Vasetvatnet",8.964892,60.993173,796,2019-10-02,39,"43752",8.9,6.7,11.1,"6.56",947502.6,8.711,4.657,0.204,0.1543,9.5,4.7,7.07,8.38,0.125,"4.0500000000000001E-2",0.5848,0.323,0.0749,1.4966,"0.10730000000000001","na",0.43,0.88,1.43,0.63,0.02,0.01,0.0204,0.0347,0.0859,0.63,0.028,0.000631,0.0123,0.00294,0.00125,0.00214,7.86,0.126,0.011,0.002,0.1,0.075,0.014384104,0.031,0.013,0.017380757,0.027056045,9.692307692,"6.5","17.696399599999999","665.52127859999996","363.12592969999997","32.634834220000002","22.59835245","16.12734494","1.8569150809999999","0.27225491600000001","0","50.434957369999999","0","2.8603480000000001E-2","0",-12.35883758,-90.13928493,"100_lakes",2.16239513746987,12.7529166666666,20.1820416666666,12.1347272760032,6.71823843384428,6.49066666666667,3.9805,189.234759901163,2019-10-05,3,1.99526231496888e-07,35.1970506836653,2554.87948104309,72.5878853886127,0.00023192609780279,0.827587889296191,0.00279149667167705
"10",12267,"515-1-23",32290,"L36","Skytningen",9.025524,61.813256,824,2019-10-08,40,"43752",4.4,7.9,40.3,"6.62",783312.6,9.411,4.464,0.184,0.17,5.7,3.9,7.61,67.2,0.932,"0.1181",0.9555,2.2344,0.2816,15.362,"0.22120000000000001","0.1981",1.19,1.72,18.07,3.65,0.04,0.13,0.0293,0.248,0.05,0.462,0.0133,0.00054,0.00445,0.00441,0.00849,0.00328,4.1,0.1,0.009,0.003,0.078,0.052,0.020273255,0.02,0.01,0.013862944,0.022401434,10,"3.3333333330000001","19.86043467","736.34181490000003","402.71990779999999","46.272414179999998","147.55972360000001","16.310349039999998","0","0","0.910834327","0","50.109509750000001","0","0",-11.1565825,-88.24161123,"100_lakes",2.03778673860273,17.5759166666667,23.63875,13.3894204603278,6.01590223876765,8.14116666666667,3.60158333333333,268.086162046908,2019-10-09,1,1.25892541179417e-08,30.622541102029,2951.35612867692,96.3785506514142,0.000243174384084574,1.46240618154412,0.00224014336917563
